height_m,bca_bin_deg,gridpoint_count,fraction_of_dual,fraction_of_level_domain
500.0,0-10,345,0.3326904532304725,0.008539392589292344
500.0,10-15,150,0.1446480231436837,0.003712779386648845
500.0,15-20,99,0.09546769527483125,0.002450434395188238
500.0,20-30,166,0.1600771456123433,0.004108809187891389
500.0,30-45,134,0.12921890067502412,0.003316749585406302
500.0,45-60,103,0.09932497589199614,0.002549441845498874
500.0,60-90,40,0.03857280617164899,0.0009900745031063587
1263.157894736842,0-10,351,0.2761605035405193,0.008687903764758299
1263.157894736842,10-15,175,0.13768686073957515,0.004331575951090319
1263.157894736842,15-20,144,0.11329661683713611,0.0035642682111828917
1263.157894736842,20-30,220,0.17309205350118018,0.005445409767084973
1263.157894736842,30-45,208,0.16365066876475218,0.005148387416153066
1263.157894736842,45-60,130,0.1022816679779701,0.003217742135095666
1263.157894736842,60-90,43,0.03383162863886703,0.0010643300908393357
2026.3157894736842,0-10,353,0.23392975480450628,0.008737407489913616
2026.3157894736842,10-15,176,0.1166335321404904,0.004356327813667979
2026.3157894736842,15-20,173,0.11464546056991386,0.004282072225935001
2026.3157894736842,20-30,288,0.1908548707753479,0.007128536422365783
2026.3157894736842,30-45,310,0.20543406229290923,0.00767307739907428
2026.3157894736842,45-60,164,0.10868124585818423,0.004059305462736071
2026.3157894736842,60-90,45,0.02982107355864811,0.0011138338159946536
2789.4736842105262,0-10,349,0.2185347526612398,0.00863840003960298
2789.4736842105262,10-15,174,0.10895428929242329,0.004306824088512661
2789.4736842105262,15-20,173,0.10832811521603006,0.004282072225935001
2789.4736842105262,20-30,326,0.20413274890419536,0.008069107200316825
2789.4736842105262,30-45,352,0.22041327489041954,0.008712655627335957
2789.4736842105262,45-60,174,0.10895428929242329,0.004306824088512661
2789.4736842105262,60-90,49,0.030682529743268627,0.0012128412663052895
3552.6315789473683,0-10,351,0.2032426172553561,0.008687903764758299
3552.6315789473683,10-15,176,0.10191082802547771,0.004356327813667979
3552.6315789473683,15-20,174,0.1007527504342791,0.004306824088512661
3552.6315789473683,20-30,343,0.19861030689056167,0.008489888864137027
3552.6315789473683,30-45,371,0.21482339316734222,0.009182941016311478
3552.6315789473683,45-60,241,0.13954834973943253,0.005965198881215812
3552.6315789473683,60-90,71,0.04111175448755067,0.0017573822430137869
4315.78947368421,0-10,349,0.1943207126948775,0.00863840003960298
4315.78947368421,10-15,175,0.09743875278396437,0.004331575951090319
4315.78947368421,15-20,174,0.09688195991091314,0.004306824088512661
4315.78947368421,20-30,346,0.19265033407572382,0.008564144451870002
4315.78947368421,30-45,372,0.2071269487750557,0.009207692878889137
4315.78947368421,45-60,265,0.1475501113585746,0.0065592435830796264
4315.78947368421,60-90,115,0.06403118040089087,0.0028464641964307813
5078.9473684210525,0-10,349,0.19486320491345616,0.00863840003960298
5078.9473684210525,10-15,174,0.09715242881072027,0.004306824088512661
5078.9473684210525,15-20,173,0.09659408151870463,0.004282072225935001
5078.9473684210525,20-30,344,0.192071468453378,0.008514640726714685
5078.9473684210525,30-45,363,0.20268006700167504,0.008984926115690206
5078.9473684210525,45-60,261,0.1457286432160804,0.0064602361327689905
5078.9473684210525,60-90,127,0.07091010608598548,0.003143486547362689
5842.105263157895,0-10,204,0.17042606516290726,0.00504937996584243
5842.105263157895,10-15,104,0.08688387635756056,0.002574193708076533
5842.105263157895,15-20,102,0.08521303258145363,0.002524689982921215
5842.105263157895,20-30,193,0.16123642439431912,0.004777109477488181
5842.105263157895,30-45,239,0.1996658312447786,0.005915695156060494
5842.105263157895,45-60,234,0.19548872180451127,0.0057919358431721985
5842.105263157895,60-90,121,0.1010860484544695,0.002994975371896735
6605.263157894737,0-10,59,0.22348484848484848,0.0014603598920818791
6605.263157894737,10-15,25,0.0946969696969697,0.0006187965644414743
6605.263157894737,15-20,18,0.06818181818181818,0.00044553352639786146
6605.263157894737,20-30,10,0.03787878787878788,0.0002475186257765897
6605.263157894737,30-45,1,0.003787878787878788,2.475186257765897e-05
6605.263157894737,45-60,48,0.18181818181818182,0.0011880894037276306
6605.263157894737,60-90,103,0.39015151515151514,0.002549441845498874
7368.421052631578,0-10,19,0.4222222222222222,0.0004702853889755204
7368.421052631578,10-15,12,0.26666666666666666,0.00029702235093190764
7368.421052631578,15-20,6,0.13333333333333333,0.00014851117546595382
7368.421052631578,20-30,4,0.08888888888888889,9.900745031063588e-05
7368.421052631578,30-45,0,0.0,0.0
7368.421052631578,45-60,0,0.0,0.0
7368.421052631578,60-90,4,0.08888888888888889,9.900745031063588e-05
8131.578947368421,0-10,0,nan,0.0
8131.578947368421,10-15,0,nan,0.0
8131.578947368421,15-20,0,nan,0.0
8131.578947368421,20-30,0,nan,0.0
8131.578947368421,30-45,0,nan,0.0
8131.578947368421,45-60,0,nan,0.0
8131.578947368421,60-90,0,nan,0.0
8894.736842105263,0-10,0,nan,0.0
8894.736842105263,10-15,0,nan,0.0
8894.736842105263,15-20,0,nan,0.0
8894.736842105263,20-30,0,nan,0.0
8894.736842105263,30-45,0,nan,0.0
8894.736842105263,45-60,0,nan,0.0
8894.736842105263,60-90,0,nan,0.0
9657.894736842105,0-10,0,nan,0.0
9657.894736842105,10-15,0,nan,0.0
9657.894736842105,15-20,0,nan,0.0
9657.894736842105,20-30,0,nan,0.0
9657.894736842105,30-45,0,nan,0.0
9657.894736842105,45-60,0,nan,0.0
9657.894736842105,60-90,0,nan,0.0
10421.052631578947,0-10,0,nan,0.0
10421.052631578947,10-15,0,nan,0.0
10421.052631578947,15-20,0,nan,0.0
10421.052631578947,20-30,0,nan,0.0
10421.052631578947,30-45,0,nan,0.0
10421.052631578947,45-60,0,nan,0.0
10421.052631578947,60-90,0,nan,0.0
11184.21052631579,0-10,0,nan,0.0
11184.21052631579,10-15,0,nan,0.0
11184.21052631579,15-20,0,nan,0.0
11184.21052631579,20-30,0,nan,0.0
11184.21052631579,30-45,0,nan,0.0
11184.21052631579,45-60,0,nan,0.0
11184.21052631579,60-90,0,nan,0.0
11947.368421052632,0-10,0,nan,0.0
11947.368421052632,10-15,0,nan,0.0
11947.368421052632,15-20,0,nan,0.0
11947.368421052632,20-30,0,nan,0.0
11947.368421052632,30-45,0,nan,0.0
11947.368421052632,45-60,0,nan,0.0
11947.368421052632,60-90,0,nan,0.0
12710.526315789473,0-10,0,nan,0.0
12710.526315789473,10-15,0,nan,0.0
12710.526315789473,15-20,0,nan,0.0
12710.526315789473,20-30,0,nan,0.0
12710.526315789473,30-45,0,nan,0.0
12710.526315789473,45-60,0,nan,0.0
12710.526315789473,60-90,0,nan,0.0
13473.684210526315,0-10,0,nan,0.0
13473.684210526315,10-15,0,nan,0.0
13473.684210526315,15-20,0,nan,0.0
13473.684210526315,20-30,0,nan,0.0
13473.684210526315,30-45,0,nan,0.0
13473.684210526315,45-60,0,nan,0.0
13473.684210526315,60-90,0,nan,0.0
14236.842105263157,0-10,0,nan,0.0
14236.842105263157,10-15,0,nan,0.0
14236.842105263157,15-20,0,nan,0.0
14236.842105263157,20-30,0,nan,0.0
14236.842105263157,30-45,0,nan,0.0
14236.842105263157,45-60,0,nan,0.0
14236.842105263157,60-90,0,nan,0.0
15000.0,0-10,0,nan,0.0
15000.0,10-15,0,nan,0.0
15000.0,15-20,0,nan,0.0
15000.0,20-30,0,nan,0.0
15000.0,30-45,0,nan,0.0
15000.0,45-60,0,nan,0.0
15000.0,60-90,0,nan,0.0
