station,scan_time_utc,elevation_deg,product_directory,layer,rays,gates_per_ray,valid_gate_fraction,same_elevation_sweep_count,is_repeated_elevation
Z9539,2026-05-11T07:09:39+00:00,0.5,026,01,358,460,0.8011598251153753,2,True
Z9539,2026-05-11T07:09:39+00:00,0.5,027,01,358,460,0.41972309934418267,2,True
Z9539,2026-05-11T07:09:39+00:00,1.5,026,02,358,460,0.611215691037163,2,True
Z9539,2026-05-11T07:09:39+00:00,1.5,027,02,358,460,0.3273378673791596,2,True
Z9539,2026-05-11T07:09:39+00:00,2.4,026,03,361,460,0.49707936890280624,2,True
Z9539,2026-05-11T07:09:39+00:00,2.4,027,03,361,460,0.273943153077201,2,True
Z9539,2026-05-11T07:09:39+00:00,3.3,027,04,362,460,0.2612539034350228,1,False
Z9539,2026-05-11T07:09:39+00:00,4.3,027,05,362,460,0.2402414124429498,1,False
Z9539,2026-05-11T07:09:39+00:00,5.2,027,06,361,460,0.2238769119595327,1,False
Z9539,2026-05-11T07:09:39+00:00,6.2,027,07,361,460,0.18929302661688546,1,False
Z9532,2026-05-11T07:09:29+00:00,0.5,026,01,364,460,0.5751373626373626,2,True
Z9532,2026-05-11T07:09:29+00:00,0.5,027,01,364,460,0.30605590062111804,2,True
Z9532,2026-05-11T07:09:29+00:00,1.5,026,02,365,460,0.509803454437165,2,True
Z9532,2026-05-11T07:09:29+00:00,1.5,027,02,365,460,0.2856164383561644,2,True
Z9532,2026-05-11T07:09:29+00:00,2.4,026,03,363,460,0.5213438735177865,2,True
Z9532,2026-05-11T07:09:29+00:00,2.4,027,03,363,460,0.2895496466642712,2,True
Z9532,2026-05-11T07:09:29+00:00,3.3,027,04,363,460,0.28743562103245895,1,False
Z9532,2026-05-11T07:09:29+00:00,4.3,027,05,363,460,0.30961192957240385,1,False
Z9532,2026-05-11T07:09:29+00:00,5.2,027,06,363,460,0.2950473110552162,1,False
Z9532,2026-05-11T07:09:29+00:00,6.2,027,07,363,460,0.2677386513354893,1,False
