mask,K,start_index,height_m,union_count,intersection_count,intersection_fraction_of_level
observation_samples,3,0,500.0,26788,23006,0.2847206752308111
observation_samples,3,0,1263.157894736842,27569,24046,0.2975916437711938
observation_samples,3,0,2026.3157894736842,28299,24828,0.30726962203905844
observation_samples,3,0,2789.4736842105262,27827,23273,0.2880250488849286
observation_samples,3,0,3552.6315789473683,21561,16777,0.20763099923269226
observation_samples,3,0,4315.78947368421,17532,13884,0.17182743001410855
observation_samples,3,0,5078.9473684210525,15578,12176,0.1506893393727878
observation_samples,3,0,5842.105263157895,12295,9384,0.11613573921437588
observation_samples,3,0,6605.263157894737,7622,5308,0.0656914432811069
observation_samples,3,0,7368.421052631578,2288,1026,0.01269770550233905
observation_samples,3,0,8131.578947368421,146,37,0.0004579094576866909
observation_samples,3,0,8894.736842105263,9,0,0.0
observation_samples,3,0,9657.894736842105,0,0,0.0
observation_samples,3,0,10421.052631578947,0,0,0.0
observation_samples,3,0,11184.21052631579,0,0,0.0
observation_samples,3,0,11947.368421052632,0,0,0.0
observation_samples,3,0,12710.526315789473,0,0,0.0
observation_samples,3,0,13473.684210526315,0,0,0.0
observation_samples,3,0,14236.842105263157,0,0,0.0
observation_samples,3,0,15000.0,0,0,0.0
observation_samples,3,1,500.0,26950,23399,0.2895844162273211
observation_samples,3,1,1263.157894736842,27771,24397,0.3019355956535729
observation_samples,3,1,2026.3157894736842,28504,25169,0.3114898146085493
observation_samples,3,1,2789.4736842105262,27993,23609,0.29218336179797527
observation_samples,3,1,3552.6315789473683,21463,17208,0.21296502561817776
observation_samples,3,1,4315.78947368421,17537,14465,0.1790178460929185
observation_samples,3,1,5078.9473684210525,15811,12767,0.158003514764486
observation_samples,3,1,5842.105263157895,12459,9787,0.12112323952377417
observation_samples,3,1,6605.263157894737,7709,5492,0.06796861463825153
observation_samples,3,1,7368.421052631578,2293,1145,0.01417044132570976
observation_samples,3,1,8131.578947368421,138,36,0.00044553352639786146
observation_samples,3,1,8894.736842105263,7,0,0.0
observation_samples,3,1,9657.894736842105,0,0,0.0
