mask,K,start_index,end_index,start_midpoint_utc,end_midpoint_utc,per_time_counts,union_count,intersection_count,intersection_fraction_of_union,intersection_fraction_of_domain
observation_samples,3,0,2,2026-05-11T07:09:34Z,2026-05-11T07:20:08.500000Z,168598;171743;173033,187514,153745,0.8199121132288789,0.09513687780005445
observation_samples,3,1,3,2026-05-11T07:14:51Z,2026-05-11T07:25:41.500000Z,171743;173033;175582,188635,157474,0.8348079624671986,0.09744437018885671
observation_samples,3,2,4,2026-05-11T07:20:08.500000Z,2026-05-11T07:30:58.500000Z,173033;175582;177055,189724,159787,0.8422076279226666,0.09887564664240985
observation_samples,3,3,5,2026-05-11T07:25:41.500000Z,2026-05-11T07:36:15Z,175582;177055;179200,191084,162910,0.8525569906428586,0.10080814831316057
observation_samples,4,0,3,2026-05-11T07:09:34Z,2026-05-11T07:25:41.500000Z,168598;171743;173033;175582,192704,149537,0.7759932331451345,0.09253298185688473
observation_samples,4,1,4,2026-05-11T07:14:51Z,2026-05-11T07:30:58.500000Z,171743;173033;175582;177055,193294,153481,0.7940287851666373,0.0949735155070419
observation_samples,4,2,5,2026-05-11T07:20:08.500000Z,2026-05-11T07:36:15Z,173033;175582;177055;179200,194544,156193,0.802867217698824,0.09665169178980719
observation_samples,5,0,4,2026-05-11T07:09:34Z,2026-05-11T07:30:58.500000Z,168598;171743;173033;175582;177055,196471,146474,0.7455247848282953,0.09063760798000049
observation_samples,5,1,5,2026-05-11T07:14:51Z,2026-05-11T07:36:15Z,171743;173033;175582;177055;179200,197313,150484,0.7626664233983569,0.0931189822034108
observation_any,3,0,2,2026-05-11T07:09:34Z,2026-05-11T07:20:08.500000Z,156364;159163;160172,172450,143810,0.8339228761959988,0.17797826786465681
observation_any,3,1,3,2026-05-11T07:14:51Z,2026-05-11T07:25:41.500000Z,159163;160172;162015,173329,146844,0.8471981030294988,0.18173312541768769
observation_any,3,2,4,2026-05-11T07:20:08.500000Z,2026-05-11T07:30:58.500000Z,160172;162015;162536,173968,148384,0.852938471443024,0.18363901883616743
observation_any,3,3,5,2026-05-11T07:25:41.500000Z,2026-05-11T07:36:15Z,162015;162536;164051,174760,150615,0.8618390936140994,0.18640008910670527
observation_any,4,0,3,2026-05-11T07:09:34Z,2026-05-11T07:25:41.500000Z,156364;159163;160172;162015,176736,140172,0.79311515480717,0.17347590406178065
observation_any,4,1,4,2026-05-11T07:14:51Z,2026-05-11T07:30:58.500000Z,159163;160172;162015;162536,177067,143202,0.808744712453478,0.17722581124229597
observation_any,4,2,5,2026-05-11T07:20:08.500000Z,2026-05-11T07:36:15Z,160172;162015;162536;164051,177934,145112,0.8155383456787348,0.17958961411846242
observation_any,5,0,4,2026-05-11T07:09:34Z,2026-05-11T07:30:58.500000Z,156364;159163;160172;162015;162536,179883,137283,0.7631793999432964,0.1699004975124378
observation_any,5,1,5,2026-05-11T07:14:51Z,2026-05-11T07:36:15Z,159163;160172;162015;162536;164051,180465,140411,0.7780511456515113,0.1737716888195837
observation_dual,3,0,2,2026-05-11T07:09:34Z,2026-05-11T07:20:08.500000Z,12234;12580;12861,14884,10117,0.679723192690137,0.012520729684908789
observation_dual,3,1,3,2026-05-11T07:14:51Z,2026-05-11T07:25:41.500000Z,12580;12861;13567,15198,10740,0.7066719305171734,0.013291750204202866
observation_dual,3,2,4,2026-05-11T07:20:08.500000Z,2026-05-11T07:30:58.500000Z,12861;13567;14519,15699,11481,0.7313204662717371,0.01420880671270513
observation_dual,3,3,5,2026-05-11T07:25:41.500000Z,2026-05-11T07:36:15Z,13567;14519;15149,16251,12400,0.7630299673866223,0.01534615479814856
observation_dual,4,0,3,2026-05-11T07:09:34Z,2026-05-11T07:25:41.500000Z,12234;12580;12861;13567,15834,9576,0.6047745358090185,0.011851191802183114
observation_dual,4,1,4,2026-05-11T07:14:51Z,2026-05-11T07:30:58.500000Z,12580;12861;13567;14519,16140,10415,0.6452912019826518,0.012889532437315908
observation_dual,4,2,5,2026-05-11T07:20:08.500000Z,2026-05-11T07:36:15Z,12861;13567;14519;15149,16498,11222,0.6802036610498242,0.013888270092324448
observation_dual,5,0,4,2026-05-11T07:09:34Z,2026-05-11T07:30:58.500000Z,12234;12580;12861;13567;14519,16508,9411,0.5700872304337291,0.011646988935917427
observation_dual,5,1,5,2026-05-11T07:14:51Z,2026-05-11T07:36:15Z,12580;12861;13567;14519;15149,16751,10251,0.6119634648677691,0.012686567164179104
current_effective,3,0,2,2026-05-11T07:09:34Z,2026-05-11T07:20:08.500000Z,6928;7284;7619,9464,4985,0.5267328825021133,0.006169401747481498
current_effective,3,1,3,2026-05-11T07:14:51Z,2026-05-11T07:25:41.500000Z,7284;7619;8393,9805,5674,0.5786843447220805,0.00702210341328185
current_effective,3,2,4,2026-05-11T07:20:08.500000Z,2026-05-11T07:30:58.500000Z,7619;8393;9290,10347,6425,0.6209529332173577,0.007951535853072943
current_effective,3,3,5,2026-05-11T07:25:41.500000Z,2026-05-11T07:36:15Z,8393;9290;9887,10870,7356,0.6767249310027599,0.009103735056062968
current_effective,4,0,3,2026-05-11T07:09:34Z,2026-05-11T07:25:41.500000Z,6928;7284;7619;8393,10397,4548,0.43743387515629506,0.005628573550159649
current_effective,4,1,4,2026-05-11T07:14:51Z,2026-05-11T07:30:58.500000Z,7284;7619;8393;9290,10725,5393,0.5028438228438229,0.006674339744065741
current_effective,4,2,5,2026-05-11T07:20:08.500000Z,2026-05-11T07:36:15Z,7619;8393;9290;9887,11097,6210,0.559610705596107,0.00768545333036311
current_effective,5,0,4,2026-05-11T07:09:34Z,2026-05-11T07:30:58.500000Z,6928;7284;7619;8393;9290,11060,4420,0.3996383363471971,0.005470161629662632
current_effective,5,1,5,2026-05-11T07:14:51Z,2026-05-11T07:36:15Z,7284;7619;8393;9290;9887,11304,5269,0.46611818825194623,0.0065208781960842555
baseline_finite,3,0,2,2026-05-11T07:09:34Z,2026-05-11T07:20:08.500000Z,4645;808020;808020,808020,4645,0.005748620083661295,0.005748620083661295
baseline_finite,3,1,3,2026-05-11T07:14:51Z,2026-05-11T07:25:41.500000Z,808020;808020;808020,808020,808020,1.0,1.0
baseline_finite,3,2,4,2026-05-11T07:20:08.500000Z,2026-05-11T07:30:58.500000Z,808020;808020;808020,808020,808020,1.0,1.0
