window,representation,domain,rank_name,z_m,component,rmse_m_s
K3_T1-3,eulerian,A_common_dense,aggressive_temporal,2026.3157894736842,u,2.5674816874578945
K3_T1-3,eulerian,A_common_dense,aggressive_temporal,2026.3157894736842,v,1.629147260021436
K3_T1-3,eulerian,A_common_dense,aggressive_temporal,2026.3157894736842,w,1.00550463136711
K3_T1-3,eulerian,A_common_dense,aggressive_temporal,2789.4736842105262,u,2.4004090639145534
K3_T1-3,eulerian,A_common_dense,aggressive_temporal,2789.4736842105262,v,1.262884726624349
K3_T1-3,eulerian,A_common_dense,aggressive_temporal,2789.4736842105262,w,0.9273706441859825
K3_T1-3,eulerian,A_common_dense,aggressive_temporal,3552.6315789473683,u,2.0107519314036284
K3_T1-3,eulerian,A_common_dense,aggressive_temporal,3552.6315789473683,v,1.1792768947248666
K3_T1-3,eulerian,A_common_dense,aggressive_temporal,3552.6315789473683,w,0.8102842715159567
K3_T1-3,eulerian,A_common_dense,aggressive_temporal,4315.78947368421,u,1.6480838907285345
K3_T1-3,eulerian,A_common_dense,aggressive_temporal,4315.78947368421,v,1.129761289994405
K3_T1-3,eulerian,A_common_dense,aggressive_temporal,4315.78947368421,w,0.6637444951728303
K3_T1-3,eulerian,A_common_dense,compact_temporal,2026.3157894736842,u,0.8348932620726881
K3_T1-3,eulerian,A_common_dense,compact_temporal,2026.3157894736842,v,0.6613718430876423
K3_T1-3,eulerian,A_common_dense,compact_temporal,2026.3157894736842,w,0.3819434207794091
K3_T1-3,eulerian,A_common_dense,compact_temporal,2789.4736842105262,u,0.7661096899751753
K3_T1-3,eulerian,A_common_dense,compact_temporal,2789.4736842105262,v,0.7153388385174796
K3_T1-3,eulerian,A_common_dense,compact_temporal,2789.4736842105262,w,0.3845599330987392
K3_T1-3,eulerian,A_common_dense,compact_temporal,3552.6315789473683,u,0.6606388180336284
K3_T1-3,eulerian,A_common_dense,compact_temporal,3552.6315789473683,v,0.7499402648068105
K3_T1-3,eulerian,A_common_dense,compact_temporal,3552.6315789473683,w,0.355470328033458
K3_T1-3,eulerian,A_common_dense,compact_temporal,4315.78947368421,u,0.5862947434221392
K3_T1-3,eulerian,A_common_dense,compact_temporal,4315.78947368421,v,0.7314115257000499
K3_T1-3,eulerian,A_common_dense,compact_temporal,4315.78947368421,w,0.30439104271415124
K3_T1-3,eulerian,A_common_dense,moderate_temporal,2026.3157894736842,u,0.04552464752467207
K3_T1-3,eulerian,A_common_dense,moderate_temporal,2026.3157894736842,v,0.04263074418525241
K3_T1-3,eulerian,A_common_dense,moderate_temporal,2026.3157894736842,w,0.04686766870805351
K3_T1-3,eulerian,A_common_dense,moderate_temporal,2789.4736842105262,u,0.03972299703518367
K3_T1-3,eulerian,A_common_dense,moderate_temporal,2789.4736842105262,v,0.04035589614469616
K3_T1-3,eulerian,A_common_dense,moderate_temporal,2789.4736842105262,w,0.050885208980007486
K3_T1-3,eulerian,A_common_dense,moderate_temporal,3552.6315789473683,u,0.03609304673528602
K3_T1-3,eulerian,A_common_dense,moderate_temporal,3552.6315789473683,v,0.04607901873840961
K3_T1-3,eulerian,A_common_dense,moderate_temporal,3552.6315789473683,w,0.048918183467630744
K3_T1-3,eulerian,A_common_dense,moderate_temporal,4315.78947368421,u,0.03237053533414611
K3_T1-3,eulerian,A_common_dense,moderate_temporal,4315.78947368421,v,0.047526339773681
K3_T1-3,eulerian,A_common_dense,moderate_temporal,4315.78947368421,w,0.0425134582399981
K3_T1-3,eulerian,A_common_dense,compact_rt_full,2026.3157894736842,u,0.7688019998704223
K3_T1-3,eulerian,A_common_dense,compact_rt_full,2026.3157894736842,v,0.4716174621700127
K3_T1-3,eulerian,A_common_dense,compact_rt_full,2026.3157894736842,w,0.2553437380575398
K3_T1-3,eulerian,A_common_dense,compact_rt_full,2789.4736842105262,u,0.6866233531545568
K3_T1-3,eulerian,A_common_dense,compact_rt_full,2789.4736842105262,v,0.6000833027906818
K3_T1-3,eulerian,A_common_dense,compact_rt_full,2789.4736842105262,w,0.2556243251443179
K3_T1-3,eulerian,A_common_dense,compact_rt_full,3552.6315789473683,u,0.5747237353166234
K3_T1-3,eulerian,A_common_dense,compact_rt_full,3552.6315789473683,v,0.6602134667288058
K3_T1-3,eulerian,A_common_dense,compact_rt_full,3552.6315789473683,w,0.23250666531057465
K3_T1-3,eulerian,A_common_dense,compact_rt_full,4315.78947368421,u,0.4959271424158136
K3_T1-3,eulerian,A_common_dense,compact_rt_full,4315.78947368421,v,0.6535391449962762
K3_T1-3,eulerian,A_common_dense,compact_rt_full,4315.78947368421,w,0.19845773471364064
K3_T1-3,eulerian,A_common_dense,moderate_rt_full,2026.3157894736842,u,0.04552464752467207
K3_T1-3,eulerian,A_common_dense,moderate_rt_full,2026.3157894736842,v,0.04263074418525241
K3_T1-3,eulerian,A_common_dense,moderate_rt_full,2026.3157894736842,w,0.04686766870805351
K3_T1-3,eulerian,A_common_dense,moderate_rt_full,2789.4736842105262,u,0.03972299703518367
K3_T1-3,eulerian,A_common_dense,moderate_rt_full,2789.4736842105262,v,0.04035589614469616
K3_T1-3,eulerian,A_common_dense,moderate_rt_full,2789.4736842105262,w,0.050885208980007486
K3_T1-3,eulerian,A_common_dense,moderate_rt_full,3552.6315789473683,u,0.03609304673528602
K3_T1-3,eulerian,A_common_dense,moderate_rt_full,3552.6315789473683,v,0.04607901873840961
K3_T1-3,eulerian,A_common_dense,moderate_rt_full,3552.6315789473683,w,0.048918183467630744
K3_T1-3,eulerian,A_common_dense,moderate_rt_full,4315.78947368421,u,0.03237053533414611
K3_T1-3,eulerian,A_common_dense,moderate_rt_full,4315.78947368421,v,0.047526339773681
K3_T1-3,eulerian,A_common_dense,moderate_rt_full,4315.78947368421,w,0.0425134582399981
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,500.0,u,1.6789289006299748
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,500.0,v,2.608087310766278
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,500.0,w,1.0739768963112732
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,1263.157894736842,u,1.6657341110873471
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,1263.157894736842,v,2.335896104968143
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,1263.157894736842,w,1.1253524207848908
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,2026.3157894736842,u,2.1798916628228286
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,2026.3157894736842,v,2.565049369853831
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,2026.3157894736842,w,1.207842436447607
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,2789.4736842105262,u,2.5120470557592145
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,2789.4736842105262,v,2.7860312084165733
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,2789.4736842105262,w,1.3792400594191516
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,3552.6315789473683,u,2.352402483301742
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,3552.6315789473683,v,2.6263545640700685
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,3552.6315789473683,w,1.1717199832755467
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,4315.78947368421,u,2.0922845222593844
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,4315.78947368421,v,2.083132647386105
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,4315.78947368421,w,1.0023976779720472
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,5078.9473684210525,u,1.3195186444615763
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,5078.9473684210525,v,1.9685418495126081
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,5078.9473684210525,w,0.27958758196330713
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,5842.105263157895,u,2.531481708266302
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,5842.105263157895,v,1.634856950976438
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,5842.105263157895,w,0.20773504781954188
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,6605.263157894737,u,nan
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,6605.263157894737,v,nan
K3_T1-3,eulerian,B_structured_missing,aggressive_temporal,6605.263157894737,w,nan
K3_T1-3,eulerian,B_structured_missing,compact_temporal,500.0,u,0.9499382266087388
K3_T1-3,eulerian,B_structured_missing,compact_temporal,500.0,v,1.0811403939841164
K3_T1-3,eulerian,B_structured_missing,compact_temporal,500.0,w,0.4856227828599847
K3_T1-3,eulerian,B_structured_missing,compact_temporal,1263.157894736842,u,0.9732007644249457
K3_T1-3,eulerian,B_structured_missing,compact_temporal,1263.157894736842,v,1.0160017180568455
K3_T1-3,eulerian,B_structured_missing,compact_temporal,1263.157894736842,w,0.5863791397518633
K3_T1-3,eulerian,B_structured_missing,compact_temporal,2026.3157894736842,u,1.138150788851249
K3_T1-3,eulerian,B_structured_missing,compact_temporal,2026.3157894736842,v,1.183141701987574
K3_T1-3,eulerian,B_structured_missing,compact_temporal,2026.3157894736842,w,0.6551798979514486
K3_T1-3,eulerian,B_structured_missing,compact_temporal,2789.4736842105262,u,1.327968135070395
K3_T1-3,eulerian,B_structured_missing,compact_temporal,2789.4736842105262,v,1.3265495430492726
K3_T1-3,eulerian,B_structured_missing,compact_temporal,2789.4736842105262,w,0.6051213978018968
K3_T1-3,eulerian,B_structured_missing,compact_temporal,3552.6315789473683,u,1.2752487256409246
K3_T1-3,eulerian,B_structured_missing,compact_temporal,3552.6315789473683,v,1.3103969818648442
K3_T1-3,eulerian,B_structured_missing,compact_temporal,3552.6315789473683,w,0.49528921561194167
K3_T1-3,eulerian,B_structured_missing,compact_temporal,4315.78947368421,u,0.9208558001594185
K3_T1-3,eulerian,B_structured_missing,compact_temporal,4315.78947368421,v,1.116489935728243
K3_T1-3,eulerian,B_structured_missing,compact_temporal,4315.78947368421,w,0.3906968454474944
K3_T1-3,eulerian,B_structured_missing,compact_temporal,5078.9473684210525,u,0.5999777151951438
K3_T1-3,eulerian,B_structured_missing,compact_temporal,5078.9473684210525,v,0.5209139918380498
K3_T1-3,eulerian,B_structured_missing,compact_temporal,5078.9473684210525,w,0.13635734043152015
K3_T1-3,eulerian,B_structured_missing,compact_temporal,5842.105263157895,u,0.6317126835558925
K3_T1-3,eulerian,B_structured_missing,compact_temporal,5842.105263157895,v,0.5709409389675256
K3_T1-3,eulerian,B_structured_missing,compact_temporal,5842.105263157895,w,0.14623577448454053
K3_T1-3,eulerian,B_structured_missing,compact_temporal,6605.263157894737,u,nan
K3_T1-3,eulerian,B_structured_missing,compact_temporal,6605.263157894737,v,nan
K3_T1-3,eulerian,B_structured_missing,compact_temporal,6605.263157894737,w,nan
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,500.0,u,3.344067138811284
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,500.0,v,1.3552651873956763
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,500.0,w,0.3983883492232101
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,1263.157894736842,u,2.546166688381208
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,1263.157894736842,v,1.5009104689689263
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,1263.157894736842,w,0.33613923879125807
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,2026.3157894736842,u,1.6481886293979158
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,2026.3157894736842,v,1.3120593940801881
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,2026.3157894736842,w,0.24319725760602082
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,2789.4736842105262,u,0.28191896132562344
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,2789.4736842105262,v,0.3912929898310374
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,2789.4736842105262,w,0.09634780412125477
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,3552.6315789473683,u,0.2855533065666529
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,3552.6315789473683,v,0.3430566154036258
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,3552.6315789473683,w,0.0896151155366172
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,4315.78947368421,u,0.5136372595028472
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,4315.78947368421,v,0.6161594278769391
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,4315.78947368421,w,0.11642723702885717
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,5078.9473684210525,u,0.47456389792525244
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,5078.9473684210525,v,0.32748696627370943
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,5078.9473684210525,w,0.05841482821580247
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,5842.105263157895,u,0.9491505201779054
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,5842.105263157895,v,0.3333616189734152
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,5842.105263157895,w,0.050028606810200514
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,6605.263157894737,u,nan
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,6605.263157894737,v,nan
K3_T1-3,eulerian,B_structured_missing,moderate_temporal,6605.263157894737,w,nan
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,500.0,u,0.6253886536166365
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,500.0,v,0.6641878608752401
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,500.0,w,0.10566327764718154
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,1263.157894736842,u,0.5140666951303872
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,1263.157894736842,v,0.42001667147459415
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,1263.157894736842,w,0.11444028405460618
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,2026.3157894736842,u,0.3703404771016183
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,2026.3157894736842,v,0.27840631622915296
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,2026.3157894736842,w,0.13417999899683458
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,2789.4736842105262,u,0.32914795907136574
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,2789.4736842105262,v,0.4085187331395748
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,2789.4736842105262,w,0.15532436984562065
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,3552.6315789473683,u,0.26879105791141716
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,3552.6315789473683,v,0.32763490449598504
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,3552.6315789473683,w,0.14012464113960404
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,4315.78947368421,u,0.3544246720872957
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,4315.78947368421,v,0.49205089756994963
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,4315.78947368421,w,0.1312612732271305
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,5078.9473684210525,u,0.5460189499769813
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,5078.9473684210525,v,0.4051416963000504
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,5078.9473684210525,w,0.08316168965530896
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,5842.105263157895,u,0.6964651139454412
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,5842.105263157895,v,0.4362402884872858
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,5842.105263157895,w,0.050154047255236665
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,6605.263157894737,u,nan
K3_T1-3,eulerian,B_structured_missing,compact_rt_full,6605.263157894737,v,nan
