window,K,representation,domain,mode,index,singular_value,normalized_singular_value,cumulative_energy,effective_rank,rank_90,rank_95,rank_99
K3_T1-3,3,eulerian,A_common_dense,x,1,319.1613495228277,1.0,0.9241696052248276,1.3381531626484364,1,2,2
K3_T1-3,3,eulerian,A_common_dense,x,2,88.39418522957828,0.2769576747364141,0.9950585464096415,1.3381531626484364,1,2,2
K3_T1-3,3,eulerian,A_common_dense,x,3,18.658299196173445,0.058460396987508434,0.9982170051022393,1.3381531626484364,1,2,2
K3_T1-3,3,eulerian,A_common_dense,x,4,12.36959270656672,0.03875654970459384,0.9996051726751682,1.3381531626484364,1,2,2
K3_T1-3,3,eulerian,A_common_dense,x,5,5.525531378833355,0.017312658274864657,0.9998821723087913,1.3381531626484364,1,2,2
K3_T1-3,3,eulerian,A_common_dense,x,6,2.7114390288237704,0.008495511855923637,0.999948873068677,1.3381531626484364,1,2,2
K3_T1-3,3,eulerian,A_common_dense,x,7,1.902633876907976,0.005961354279747749,0.9999817159723043,1.3381531626484364,1,2,2
K3_T1-3,3,eulerian,A_common_dense,x,8,1.0034280082069782,0.003143952141157396,0.9999908508667571,1.3381531626484364,1,2,2
K3_T1-3,3,eulerian,A_common_dense,x,9,0.6848727150493337,0.002145851043910155,0.9999951063690076,1.3381531626484364,1,2,2
K3_T1-3,3,eulerian,A_common_dense,x,10,0.508604703383391,0.0015935660885749374,0.9999974532541719,1.3381531626484364,1,2,2
K3_T1-3,3,eulerian,A_common_dense,x,11,0.3720360939675017,0.0011656677555842085,0.9999987089985647,1.3381531626484364,1,2,2
K3_T1-3,3,eulerian,A_common_dense,x,12,0.2714591386657059,0.0008505388859633521,0.9999993775580103,1.3381531626484364,1,2,2
K3_T1-3,3,eulerian,A_common_dense,x,13,0.26192918612557425,0.0008206795293890685,1.0000000000000002,1.3381531626484364,1,2,2
K3_T1-3,3,eulerian,A_common_dense,y,1,325.6668786010489,1.0,0.9622286390410751,1.1967440573787935,1,1,2
K3_T1-3,3,eulerian,A_common_dense,y,2,58.29701495620064,0.1790081177632317,0.9930622033176466,1.1967440573787935,1,1,2
K3_T1-3,3,eulerian,A_common_dense,y,3,27.372323501689742,0.08405006864459683,0.9998597848241716,1.1967440573787935,1,1,2
K3_T1-3,3,eulerian,A_common_dense,y,4,3.3464589938241387,0.010275711820002566,0.9999613867900041,1.1967440573787935,1,1,2
K3_T1-3,3,eulerian,A_common_dense,y,5,1.7687726872862926,0.005431232966902628,0.9999897708909274,1.1967440573787935,1,1,2
K3_T1-3,3,eulerian,A_common_dense,y,6,0.9833949696873185,0.0030196345846149283,0.999998544677392,1.1967440573787935,1,1,2
K3_T1-3,3,eulerian,A_common_dense,y,7,0.4005106696595216,0.0012298170184821234,0.9999999999999999,1.1967440573787935,1,1,2
K3_T1-3,3,eulerian,A_common_dense,z,1,323.89231853116974,1.0,0.9517708341047832,1.2188915430664675,1,1,2
K3_T1-3,3,eulerian,A_common_dense,z,2,72.18823225075796,0.2228772592635936,0.9990493580630136,1.2188915430664675,1,1,2
K3_T1-3,3,eulerian,A_common_dense,z,3,10.236234921592864,0.031603821195925585,0.9999999882132737,1.2188915430664675,1,1,2
K3_T1-3,3,eulerian,A_common_dense,z,4,0.036043839738746475,0.00011128340400971195,1.0,1.2188915430664675,1,1,2
K3_T1-3,3,eulerian,A_common_dense,time,1,321.01679419970105,1.0,0.9349461601822047,1.2899932114489983,1,2,2
K3_T1-3,3,eulerian,A_common_dense,time,2,82.28603431173796,0.2563293752804369,0.9963765626211113,1.2899932114489983,1,2,2
K3_T1-3,3,eulerian,A_common_dense,time,3,19.984571111454034,0.06225397384979756,0.9999999999999999,1.2899932114489983,1,2,2
K3_T1-3,3,eulerian,A_common_dense,component,1,323.0036644566895,1.0,0.9465553060445082,1.2642267643353144,1,2,3
K3_T1-3,3,eulerian,A_common_dense,component,2,69.10983413020891,0.213959907378932,0.989887511811621,1.2642267643353144,1,2,3
K3_T1-3,3,eulerian,A_common_dense,component,3,33.385929035444036,0.1033608367620258,1.0,1.2642267643353144,1,2,3
K3_T1-3,3,storm_relative,A_common_dense,x,1,349.2371606454817,1.0,0.9591216325381794,1.2083662437881597,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,x,2,67.84032850270333,0.19425289215304764,0.9953133067223329,1.2083662437881597,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,x,3,20.793881739642202,0.059540862436315956,0.9987135025369575,1.2083662437881597,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,x,4,10.146007938495542,0.02905191394794031,0.9995230143386595,1.2083662437881597,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,x,5,6.712776467712886,0.01922125484958679,0.9998773681924432,1.2083662437881597,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,x,6,3.3528273627921537,0.009600431284561044,0.9999657687844399,1.2083662437881597,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,x,7,1.650377489819876,0.00472566403520618,0.9999871877933757,1.2083662437881597,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,x,8,0.9353857369516809,0.0026783682905417144,0.9999940682027009,1.2083662437881597,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,x,9,0.6560082852206812,0.0018784034436891142,0.9999974523669869,1.2083662437881597,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,x,10,0.39761901636901964,0.0011385358179928952,0.9999986956416475,1.2083662437881597,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,x,11,0.30016178602024274,0.0008594783712748814,0.9999994041477426,1.2083662437881597,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,x,12,0.21422791710751113,0.0006134167300855438,0.9999997650461118,1.2083662437881597,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,x,13,0.17285220483064662,0.000494942189173599,0.9999999999999999,1.2083662437881597,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,y,1,352.9976583454749,1.0,0.9798879971871718,1.1157664418438722,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,y,2,44.67676124981887,0.12656390260270287,0.9955842560920991,1.1157664418438722,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,y,3,23.462079941211012,0.06646525660022631,0.9999130390333109,1.1157664418438722,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,y,4,2.990921465605299,0.008472921547479834,0.9999833855841429,1.1157664418438722,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,y,5,1.2816004507367567,0.0036306202617425536,0.9999963018832039,1.1157664418438722,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,y,6,0.5908736268749865,0.0016738740694327919,0.9999990473867006,1.1157664418438722,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,y,7,0.3480502304576841,0.000985984530574566,1.0,1.1157664418438722,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,z,1,352.33701049728876,1.0,0.9762236379378549,1.122335632759773,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,z,2,54.217101956177004,0.1538785320328822,0.9993392495294168,1.122335632759773,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,z,3,9.166393670675117,0.026015982986679887,0.9999999883124537,1.122335632759773,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,z,4,0.038551854819211286,0.00010941755668755651,1.0,1.122335632759773,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,time,1,351.94879120436883,1.0,0.974073537060127,1.135093040160949,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,time,2,55.4367232522655,0.15751360606343048,0.9982408237106444,1.135093040160949,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,time,3,14.956786242359641,0.042497052458050834,1.0,1.135093040160949,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,component,1,351.14022440082084,1.0,0.9696030071071207,1.1659586847398076,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,component,2,53.477206194743985,0.15229587064824743,0.992092010491186,1.1659586847398076,1,1,2
K3_T1-3,3,storm_relative,A_common_dense,component,3,31.71148995569912,0.09031004639189662,1.0,1.1659586847398076,1,1,2
K3_T2-4,3,eulerian,A_common_dense,x,1,334.95657749932275,1.0,0.8349552897934908,1.7602539854159818,2,3,3
K3_T2-4,3,eulerian,A_common_dense,x,2,120.64545329032083,0.3601823680878897,0.9432751569435346,1.7602539854159818,2,3,3
K3_T2-4,3,eulerian,A_common_dense,x,3,85.47113974722612,0.2551708056767416,0.9976408827245199,1.7602539854159818,2,3,3
K3_T2-4,3,eulerian,A_common_dense,x,4,16.25269299403539,0.0485217908403911,0.9996066715560205,1.7602539854159818,2,3,3
K3_T2-4,3,eulerian,A_common_dense,x,5,5.840742773851433,0.017437313270443965,0.9998605479730063,1.7602539854159818,2,3,3
K3_T2-4,3,eulerian,A_common_dense,x,6,3.0660390353929348,0.00915354180617377,0.9999305066454014,1.7602539854159818,2,3,3
K3_T2-4,3,eulerian,A_common_dense,x,7,2.0112781872344216,0.00600459379615702,0.9999606110808268,1.7602539854159818,2,3,3
K3_T2-4,3,eulerian,A_common_dense,x,8,1.8646510113809054,0.0055668439930386966,0.9999864861382244,1.7602539854159818,2,3,3
K3_T2-4,3,eulerian,A_common_dense,x,9,0.9687928777572161,0.0028922939355002664,0.999993470843322,1.7602539854159818,2,3,3
K3_T2-4,3,eulerian,A_common_dense,x,10,0.6277642469501582,0.001874166053513093,0.9999964036224382,1.7602539854159818,2,3,3
K3_T2-4,3,eulerian,A_common_dense,x,11,0.47477238689194684,0.001417414730101566,0.9999980811014844,1.7602539854159818,2,3,3
K3_T2-4,3,eulerian,A_common_dense,x,12,0.34847040152053216,0.0010403450026928841,0.9999989847883938,1.7602539854159818,2,3,3
K3_T2-4,3,eulerian,A_common_dense,x,13,0.2921410358196277,0.000872175844405439,0.9999996199311206,1.7602539854159818,2,3,3
K3_T2-4,3,eulerian,A_common_dense,x,14,0.22598939289815412,0.0006746826546453205,1.0000000000000002,1.7602539854159818,2,3,3
K3_T2-4,3,eulerian,A_common_dense,y,1,348.15618789722816,1.0,0.9020579462749252,1.4196215128946819,1,2,2
K3_T2-4,3,eulerian,A_common_dense,y,2,110.04260739321407,0.3160725307162928,0.9921751991100907,1.4196215128946819,1,2,2
K3_T2-4,3,eulerian,A_common_dense,y,3,31.005635695870563,0.0890566842517907,0.9993295045823374,1.4196215128946819,1,2,2
K3_T2-4,3,eulerian,A_common_dense,y,4,8.936981982263918,0.025669461847686634,0.9999238897513085,1.4196215128946819,1,2,2
K3_T2-4,3,eulerian,A_common_dense,y,5,2.8352614153913827,0.008143647919962636,0.9999837133335504,1.4196215128946819,1,2,2
K3_T2-4,3,eulerian,A_common_dense,y,6,1.2169522870166527,0.0034954205305576342,0.9999947346456822,1.4196215128946819,1,2,2
K3_T2-4,3,eulerian,A_common_dense,y,7,0.8411446766127237,0.002415998065962913,0.9999999999999999,1.4196215128946819,1,2,2
K3_T2-4,3,eulerian,A_common_dense,z,1,339.82091511315224,1.0,0.859382310343385,1.5115239696689935,2,2,2
K3_T2-4,3,eulerian,A_common_dense,z,2,136.85977392478466,0.40274087861606056,0.9987743061133435,1.5115239696689935,2,2,2
K3_T2-4,3,eulerian,A_common_dense,z,3,12.832520506406626,0.03776259769688897,0.9999997971343211,1.5115239696689935,2,2,2
K3_T2-4,3,eulerian,A_common_dense,z,4,0.16510536648900295,0.0004858599313524502,1.0,1.5115239696689935,2,2,2
K3_T2-4,3,eulerian,A_common_dense,z,5,3.7989269213502925e-06,1.1179202787107264e-08,1.0,1.5115239696689935,2,2,2
K3_T2-4,3,eulerian,A_common_dense,time,1,341.44088752538573,1.0,0.8675954244710354,1.5154027430851058,2,2,2
K3_T2-4,3,eulerian,A_common_dense,time,2,130.27346037650113,0.3815403050310296,0.9938938969830248,1.5154027430851058,2,2,2
K3_T2-4,3,eulerian,A_common_dense,time,3,28.64434947457968,0.08389255804183676,1.0,1.5154027430851058,2,2,2
K3_T2-4,3,eulerian,A_common_dense,component,1,336.10631105538187,1.0,0.8406970708545127,1.6583596955604938,2,2,3
K3_T2-4,3,eulerian,A_common_dense,component,2,134.8958421759637,0.4013487332397524,0.9761172323548182,1.6583596955604938,2,2,3
K3_T2-4,3,eulerian,A_common_dense,component,3,56.64991034232122,0.16854759485009116,0.9999999999999999,1.6583596955604938,2,2,3
K3_T2-4,3,storm_relative,A_common_dense,x,1,358.6862371876858,1.0,0.8536818979413708,1.6003405233398227,2,2,3
K3_T2-4,3,storm_relative,A_common_dense,x,2,140.95221306756653,0.39296799947696914,0.9855107421126689,1.6003405233398227,2,2,3
K3_T2-4,3,storm_relative,A_common_dense,x,3,43.79353862878781,0.12209428210057707,0.9982365898792096,1.6003405233398227,2,2,3
K3_T2-4,3,storm_relative,A_common_dense,x,4,14.453150593400025,0.04029468960593904,0.9996226807458964,1.6003405233398227,2,2,3
K3_T2-4,3,storm_relative,A_common_dense,x,5,6.21583001676499,0.017329435513056782,0.9998790493891405,1.6003405233398227,2,2,3
