window,K,representation,domain,rank_name,ranks,shape,raw_dof,tucker_parameters,parameter_fraction,compression_factor,completion_iterations,relative_frobenius_error,rmse_u_m_s,nrmse_u,rmse_v_m_s,nrmse_v,rmse_w_m_s,nrmse_w,reference_max_speed_m_s,estimate_max_speed_m_s,max_speed_preservation,reference_zeta_max_s-1,estimate_zeta_max_s-1,zeta_preservation,reference_circulation_m2_s-1,estimate_circulation_m2_s-1,circulation_preservation,reference_cyclonic_circulation_m2_s-1,estimate_cyclonic_circulation_m2_s-1,cyclonic_circulation_preservation,circulation_region_coverage,centre_shift_m,reference_column_depth_m,estimate_column_depth_m,column_depth_preservation,observed_fraction,observed_scalar_count,fit_scalar_count,holdout_scalar_count,holdout_fraction_of_observed,parameters_per_observed_scalar,parameters_per_fit_scalar,holdout_relative_frobenius_error,missing_truth_available,holdout_rmse_u_m_s,holdout_rmse_v_m_s,holdout_rmse_w_m_s
K3_T1-3,3,eulerian,A_common_dense,aggressive_temporal,"[2, 2, 2, 1, 3]","[13, 7, 4, 3, 3]",3276,84,0.02564102564102564,39.0,0,0.2679950802567978,2.1859339954626438,0.22741601414779206,1.3149195027052183,0.5354284743741315,0.8614193564891917,0.5433487015540878,19.38161006438278,21.17697997500929,1.092632650469314,0.0012749715646107993,0.00048730933126725636,0.38221192126430953,-9064.091697335243,-13267.625174396358,1.4637567246034056,36053.38366376236,3530.09840636762,0.09791309573852175,1.0,18016.170791050445,3052.631578947368,0.0,0.0,,,,,,,,,,,,
K3_T1-3,3,eulerian,A_common_dense,compact_temporal,"[4, 2, 2, 2, 3]","[13, 7, 4, 3, 3]",3276,185,0.05647130647130647,17.708108108108107,0,0.10701116626382608,0.7183585438667683,0.07473521026448765,0.7152788948071348,0.2912578957196109,0.3580433562497725,0.22583935600339916,19.38161006438278,20.02430987027561,1.0331602897673555,0.0012749715646107993,0.0006578422548202789,0.5159662168788002,-9064.091697335243,-27508.663796412122,3.0349057263508716,36053.38366376236,8820.91336947435,0.24466256625838823,1.0,9156.004039552363,3052.631578947368,3052.631578947368,1.0,,,,,,,,,,,,
K3_T1-3,3,eulerian,A_common_dense,moderate_temporal,"[7, 4, 3, 3, 3]","[13, 7, 4, 3, 3]",3276,905,0.27625152625152627,3.619889502762431,0,0.00751725737548429,0.03873296272607346,0.0040296257881447806,0.04423801431915771,0.018013492436242045,0.04739795794220395,0.02989672650168143,19.38161006438278,19.397631834408205,1.0008266480427686,0.0012749715646107993,0.0012289456358893108,0.9639004272730283,-9064.091697335243,-9012.277674719744,0.9942835946120523,36053.38366376236,35547.20511656289,0.985960303978119,1.0,1500.0,3052.631578947368,3052.631578947368,1.0,,,,,,,,,,,,
K3_T1-3,3,eulerian,A_common_dense,compact_rt_full,"[4, 2, 2, 3, 3]","[13, 7, 4, 3, 3]",3276,236,0.07203907203907203,13.88135593220339,0,0.0905205359308699,0.6400701615102393,0.06659039349208917,0.6011485333518639,0.24478459816181863,0.23663740303056424,0.14926136115609995,19.38161006438278,19.949974936266926,1.0293249564920626,0.0012749715646107993,0.0006140363481796789,0.4816078767741938,-9064.091697335243,-14854.273288559354,1.6388043926041005,36053.38366376236,10147.058214934252,0.28144537859654956,1.0,9156.004039552363,3052.631578947368,3052.631578947368,1.0,,,,,,,,,,,,
K3_T1-3,3,eulerian,A_common_dense,moderate_rt_full,"[7, 4, 3, 3, 3]","[13, 7, 4, 3, 3]",3276,905,0.27625152625152627,3.619889502762431,0,0.00751725737548429,0.03873296272607346,0.0040296257881447806,0.04423801431915771,0.018013492436242045,0.04739795794220395,0.02989672650168143,19.38161006438278,19.397631834408205,1.0008266480427686,0.0012749715646107993,0.0012289456358893108,0.9639004272730283,-9064.091697335243,-9012.277674719744,0.9942835946120523,36053.38366376236,35547.20511656289,0.985960303978119,1.0,1500.0,3052.631578947368,3052.631578947368,1.0,,,,,,,,,,,,
K3_T1-3,3,eulerian,B_structured_missing,aggressive_temporal,"[6, 10, 3, 1, 3]","[45, 80, 9, 3, 3]",291600,1649,0.0056550068587105625,176.83444511825348,6,0.222818767044564,2.143285884291175,0.16353977751506377,2.48853145022483,0.3014043266990128,1.1505775549372528,0.575546982275161,37.29520024552826,33.26072770878575,0.8918232772533178,0.0032554540336132047,0.0016713208570713481,0.5133910169870718,21648.42968992889,-54133.91883310708,-2.500593327482355,176684.94618125257,49518.18143177334,0.2802625945335208,0.46530612244897956,15373.016616435327,2289.4736842105262,3052.6315789473683,1.3333333333333333,0.1306687242798354,38103,34272,3831,0.10054326430989687,0.043277432223184524,0.04811507936507937,0.20187769312064463,False,2.2313935448501376,2.48704883859384,1.1042478309396868
K3_T1-3,3,eulerian,B_structured_missing,compact_temporal,"[12, 20, 5, 2, 3]","[45, 80, 9, 3, 3]",291600,9400,0.03223593964334705,31.02127659574468,6,0.10943287146346387,1.1166338508381313,0.08520284338654653,1.1822168356357814,0.14318696648372575,0.5259218808773849,0.26307896425805305,37.29520024552826,37.959670844356786,1.0178165177946243,0.0032554540336132047,0.003398295577547766,1.0438776104530103,21648.42968992889,-253.33619433490358,-0.011702289633171806,176684.94618125257,172327.06153591245,0.9753352804552484,0.46530612244897956,2121.3203435596424,2289.4736842105262,3052.6315789473683,1.3333333333333333,0.1306687242798354,38103,34272,3831,0.10054326430989687,0.2466997349290082,0.2742763772175537,0.1094086492673756,False,1.3255732468836325,1.2658653577722851,0.5270481534641087
K3_T1-3,3,eulerian,B_structured_missing,moderate_temporal,"[23, 40, 7, 3, 3]","[45, 80, 9, 3, 3]",291600,62276,0.21356652949245541,4.6823816558545825,6,0.11590664611861448,1.548257512869819,0.11813715148620722,0.9140067727516505,0.11070207528004507,0.21077179965013385,0.10543319980195077,37.29520024552826,37.77487781589846,1.012861643514777,0.0032554540336132047,0.0073926432231567855,2.2708485964864766,21648.42968992889,39894.26628442718,1.8428249464665087,176684.94618125257,207318.0463353266,1.1733769673996393,0.46530612244897956,26196.37379485947,2289.4736842105262,2289.4736842105262,1.0,0.1306687242798354,38103,34272,3831,0.10054326430989687,1.6344119885573314,1.817110177404295,0.30745828074407694,False,4.458890416564561,2.916854225539037,0.578606042743541
K3_T1-3,3,eulerian,B_structured_missing,compact_rt_full,"[12, 20, 5, 3, 3]","[45, 80, 9, 3, 3]",291600,13003,0.04459190672153635,22.425594093670693,6,0.038672037217075364,0.40231204543137344,0.030697735138229754,0.4304870999650798,0.05213945538275716,0.13273194169848673,0.0663957576508198,37.29520024552826,37.461055468504284,1.0044470929740057,0.0032554540336132047,0.0032817795542609642,1.0080865895742785,21648.42968992889,2867.375952711245,0.13245191423954333,176684.94618125257,166430.57315492432,0.941962384187452,0.46530612244897956,0.0,2289.4736842105262,3052.6315789473683,1.3333333333333333,0.1306687242798354,38103,34272,3831,0.10054326430989687,0.341259218434244,0.37940592903828196,0.06973973096310032,False,0.9067234590014134,0.7886396870787049,0.18381066000424195
K3_T1-3,3,eulerian,B_structured_missing,moderate_rt_full,"[23, 40, 7, 3, 3]","[45, 80, 9, 3, 3]",291600,62276,0.21356652949245541,4.6823816558545825,6,0.11590664611861448,1.548257512869819,0.11813715148620722,0.9140067727516505,0.11070207528004507,0.21077179965013385,0.10543319980195077,37.29520024552826,37.77487781589846,1.012861643514777,0.0032554540336132047,0.0073926432231567855,2.2708485964864766,21648.42968992889,39894.26628442718,1.8428249464665087,176684.94618125257,207318.0463353266,1.1733769673996393,0.46530612244897956,26196.37379485947,2289.4736842105262,2289.4736842105262,1.0,0.1306687242798354,38103,34272,3831,0.10054326430989687,1.6344119885573314,1.817110177404295,0.30745828074407694,False,4.458890416564561,2.916854225539037,0.578606042743541
K3_T1-3,3,storm_relative,A_common_dense,aggressive_temporal,"[2, 2, 2, 1, 3]","[13, 7, 4, 3, 3]",3276,84,0.02564102564102564,39.0,0,0.17818866562165192,1.487322132610955,0.1421900383443169,0.9317799512351856,0.4285923264608973,0.7855759340261734,0.5167399221821419,19.38161006438278,21.04991181507437,1.086076530543631,0.0012223932147026064,0.0007662437487570143,0.6268390069094356,20399.705121293668,-14668.043014016475,-0.719032109866414,58766.686510294676,12125.908307586353,0.20633983346095497,1.0,10746.705995359347,3052.631578947368,3052.631578947368,1.0,,,,,,,,,,,,
K3_T1-3,3,storm_relative,A_common_dense,compact_temporal,"[4, 2, 2, 2, 3]","[13, 7, 4, 3, 3]",3276,185,0.05647130647130647,17.708108108108107,0,0.08268760761202341,0.4830195191991729,0.046177329342512355,0.6736239773870069,0.3098479069499408,0.3303465522766368,0.2172969465111959,19.38161006438278,20.43746255096289,1.0544770265768804,0.0012223932147026064,0.0007061746793161953,0.5776984613645775,20399.705121293668,15627.670645769309,0.7660733600240524,58766.686510294676,27215.928370951653,0.4631183071072758,1.0,1500.0,3052.631578947368,3052.631578947368,1.0,,,,,,,,,,,,
K3_T1-3,3,storm_relative,A_common_dense,moderate_temporal,"[7, 4, 3, 3, 3]","[13, 7, 4, 3, 3]",3276,905,0.27625152625152627,3.619889502762431,0,0.005415682601117152,0.022767637447486003,0.002176617405662141,0.03646805391608846,0.016774269556539025,0.03958774681184952,0.026040218801101786,19.38161006438278,19.362126865617444,0.9989947585004231,0.0012223932147026064,0.0012426668573394955,1.016585205474837,20399.705121293668,19098.136510949524,0.9361966948735186,58766.686510294676,58396.66011970986,0.9937034668354153,1.0,0.0,3052.631578947368,3052.631578947368,1.0,,,,,,,,,,,,
K3_T1-3,3,storm_relative,A_common_dense,compact_rt_full,"[4, 2, 2, 3, 3]","[13, 7, 4, 3, 3]",3276,236,0.07203907203907203,13.88135593220339,0,0.07389917701238585,0.44934671172629026,0.04295816270688589,0.6030972661771034,0.27740762188583457,0.26516485137765117,0.17442141329874483,19.38161006438278,20.608702970110542,1.0633122275007878,0.0012223932147026064,0.0007545310207716048,0.6172572063525182,20399.705121293668,17014.988736771214,0.834080131825562,58766.686510294676,30256.983194705004,0.5148662446606483,1.0,1500.0,3052.631578947368,3052.631578947368,1.0,,,,,,,,,,,,
K3_T1-3,3,storm_relative,A_common_dense,moderate_rt_full,"[7, 4, 3, 3, 3]","[13, 7, 4, 3, 3]",3276,905,0.27625152625152627,3.619889502762431,0,0.005415682601117152,0.022767637447486003,0.002176617405662141,0.03646805391608846,0.016774269556539025,0.03958774681184952,0.026040218801101786,19.38161006438278,19.362126865617444,0.9989947585004231,0.0012223932147026064,0.0012426668573394955,1.016585205474837,20399.705121293668,19098.136510949524,0.9361966948735186,58766.686510294676,58396.66011970986,0.9937034668354153,1.0,0.0,3052.631578947368,3052.631578947368,1.0,,,,,,,,,,,,
K3_T1-3,3,storm_relative,B_structured_missing,aggressive_temporal,"[6, 10, 3, 1, 3]","[48, 79, 9, 3, 3]",307152,1657,0.005394723133822993,185.36632468316233,6,0.18993596095020565,1.9325841072998318,0.14905995372526568,1.8789728546717603,0.2279151362795137,1.1821535805211734,0.5859648488482182,37.21547751910364,34.59717799349291,0.9296448762677655,0.0031457184255133937,0.0014909036200772107,0.47394693942891264,1207.4883472283739,-145486.01079849116,-120.4864718839189,129530.03755974007,10779.84450568744,0.08322273897832932,0.30618892508143325,16839.823036160346,2289.4736842105262,1526.3157894736842,0.6666666666666666,0.10428387248007501,32031,28818,3213,0.10030907558302894,0.051731135462520686,0.05749878548129641,0.18119030989036106,False,2.1887774347661733,1.9881600295745034,1.098210948669196
K3_T1-3,3,storm_relative,B_structured_missing,compact_temporal,"[12, 20, 5, 2, 3]","[48, 79, 9, 3, 3]",307152,9416,0.030655831640360474,32.62022090059473,6,0.0910152244459999,0.9808603615555078,0.0756536285029731,0.9393429964109479,0.1139401702945877,0.38045067026914475,0.1885801668850673,37.21547751910364,37.49551600261341,1.0075247854435299,0.0031457184255133937,0.0032629749103601268,1.0372749461285926,1207.4883472283739,-24344.546458777848,-20.161309642993626,129530.03755974007,126044.3040465804,0.9730893808198579,0.30618892508143325,2121.3203435596424,2289.4736842105262,3815.7894736842104,1.6666666666666667,0.10428387248007501,32031,28818,3213,0.10030907558302894,0.29396522119197027,0.32674023179956974,0.09963597593467771,False,1.2680188906091736,1.1139418835262536,0.39985587854680193
K3_T1-3,3,storm_relative,B_structured_missing,moderate_temporal,"[24, 40, 7, 3, 3]","[48, 79, 9, 3, 3]",307152,64873,0.2112081314788769,4.734666193948176,6,0.12296327031618733,1.6027445115651964,0.12361946982019069,1.00316489663822,0.12168162172202586,0.2359056754665553,0.11693271986390691,37.21547751910364,37.09567192747125,0.9967807589847291,0.0031457184255133937,0.0070817903427085205,2.251247373341352,1207.4883472283739,19974.80833160258,16.54244397260814,129530.03755974007,161303.6634442071,1.245299287200568,0.30618892508143325,25500.0,2289.4736842105262,3052.6315789473683,1.3333333333333333,0.10428387248007501,32031,28818,3213,0.10030907558302894,2.025319222003684,2.2511277673676173,0.3204072107292909,False,4.569696021591594,3.1331205826148514,0.643659978117289
